,LAcode,LAname,objectid,all_categories,from_home,underground_metro _light_rail_tram,Train,bus_minibus_or_coach,taxi,motorcycle_or_scooter,driving_a_car_or _a_van,passeneger_a_car_or _a_van,bicycle,on_foot,other,not_in_employment,health_all_categories,very_good_health,good_health,fair_health,bad_health,very_bad_health
22,E06000023,"Bristol, City of",23,321506,17841,272,3931,19830,575,2330,99695,10039,15768,38832,882,111511,428234,209024,143283,52446,18056,5425
23,E06000024,North Somerset,24,145352,11734,98,2234,2885,349,954,62805,5002,2646,8460,396,47789,202566,93803,70435,27670,8276,2382
24,E06000025,South Gloucestershire,25,192468,12787,95,1621,6645,212,1874,90569,6809,5284,10187,448,55937,262767,129141,91675,30940,8556,2455
25,E06000026,Plymouth,26,191786,7898,66,641,12991,743,2256,65103,7110,3055,16592,1011,74320,256384,117976,85956,35756,13012,3684
26,E06000027,Torbay,27,94000,6853,31,525,2469,316,864,32974,3370,779,8413,318,37088,130959,54614,45098,21355,7625,2267
27,E06000028,Bournemouth,28,137574,9111,135,1467,7685,290,989,49577,4396,4169,10919,448,48388,183491,84955,63260,24866,8009,2401
28,E06000029,Poole,29,106391,7451,104,1074,3740,154,1037,43785,3735,3393,6859,377,34682,147645,68689,51486,19849,5841,1780
29,E06000030,Swindon,30,154080,8849,84,1359,9164,472,1163,66389,6613,4592,10395,419,44581,209156,100931,73591,25056,7556,2022
30,E06000031,Peterborough,31,132318,7158,92,2080,6434,537,610,50718,7489,4990,7506,430,44274,183631,81275,68493,24362,7425,2076
31,E06000032,Luton,32,145208,6171,285,5126,6517,1029,432,49150,7475,1149,11261,606,56007,203201,94607,73300,25277,7571,2446
32,E06000033,Southend-on-Sea,33,125007,7434,314,12445,4254,377,598,38900,3761,2260,10629,367,43668,173658,78341,60929,24420,7778,2190
33,E06000034,Thurrock,34,114124,5186,1337,11715,2831,439,784,45376,4136,1078,4230,308,36704,157705,76012,54788,19389,5888,1628
34,E06000035,Medway,35,194158,9922,266,10970,5819,418,1379,76721,7615,1419,11643,517,67469,263925,120662,95679,34307,10388,2889
35,E06000036,Bracknell Forest,36,83116,6875,109,2858,1201,187,478,41113,2803,1360,4602,328,21202,113205,59320,38814,11394,2859,818
36,E06000037,West Berkshire,37,112054,10689,116,3791,2918,151,494,50622,3904,2064,6644,286,30375,153822,79432,53069,16456,3818,1047
